Year,Month,Sex,Deaths,Age_group,Population
2007,1,Female,1087,00_04,10029000
2007,1,Female,86,05_09,9693000
2007,1,Female,103,10_14,9970000
2007,1,Female,332,15_19,10423000
2007,1,Female,409,20_24,10123000
2007,1,Female,512,25_29,10226000
2007,1,Female,622,30_34,9618000
2007,1,Female,1001,35_39,10505000
2007,1,Female,1626,40_44,11077000
2007,1,Female,2658,45_49,11542000
2007,1,Female,3541,50_54,10624000
2007,1,Female,4622,55_59,9342000
2007,1,Female,5588,60_64,7371000
2007,1,Female,6928,65_69,5616000
2007,1,Female,9006,70_74,4643000
2007,1,Female,12942,75_79,4296000
2007,1,Female,18163,80_84,3415000
2007,1,Female,42744,85_99,2623000
2007,1,Male,1412,00_04,10502000
2007,1,Male,122,05_09,10137000
2007,1,Male,149,10_14,10474000
2007,1,Male,796,15_19,10747000
2007,1,Male,1268,20_24,10409000
2007,1,Male,1244,25_29,10440000
2007,1,Male,1190,30_34,9584000
2007,1,Male,1645,35_39,10402000
2007,1,Male,2546,40_44,10779000
2007,1,Male,4132,45_49,11100000
2007,1,Male,5711,50_54,10195000
2007,1,Male,7303,55_59,8879000
2007,1,Male,8208,60_64,6599000
2007,1,Male,9010,65_69,5013000
2007,1,Male,10693,70_74,3726000
2007,1,Male,13932,75_79,3271000
2007,1,Male,15966,80_84,2098000
2007,1,Male,22953,85_99,1335000
2007,2,Female,1031,00_04,10029000
2007,2,Female,124,05_09,9693000
2007,2,Female,107,10_14,9970000
2007,2,Female,284,15_19,10423000
2007,2,Female,395,20_24,10123000
2007,2,Female,457,25_29,10226000
2007,2,Female,541,30_34,9618000
2007,2,Female,878,35_39,10505000
2007,2,Female,1440,40_44,11077000
2007,2,Female,2404,45_49,11542000
2007,2,Female,3374,50_54,10624000
2007,2,Female,4201,55_59,9342000
2007,2,Female,5128,60_64,7371000
2007,2,Female,6159,65_69,5616000
2007,2,Female,8098,70_74,4643000
2007,2,Female,11900,75_79,4296000
2007,2,Female,16494,80_84,3415000
2007,2,Female,39415,85_99,2623000
2007,2,Male,1283,00_04,10502000
2007,2,Male,125,05_09,10137000
2007,2,Male,154,10_14,10474000
2007,2,Male,674,15_19,10747000
2007,2,Male,1091,20_24,10409000
2007,2,Male,1082,25_29,10440000
2007,2,Male,1182,30_34,9584000
2007,2,Male,1565,35_39,10402000
2007,2,Male,2452,40_44,10779000
2007,2,Male,3879,45_49,11100000
2007,2,Male,5440,50_54,10195000
2007,2,Male,6899,55_59,8879000
2007,2,Male,7518,60_64,6599000
2007,2,Male,8293,65_69,5013000
2007,2,Male,10016,70_74,3726000
2007,2,Male,12783,75_79,3271000
2007,2,Male,14620,80_84,2098000
2007,2,Male,21473,85_99,1335000
2007,3,Female,1183,00_04,10029000
2007,3,Female,111,05_09,9693000
2007,3,Female,124,10_14,9970000
2007,3,Female,345,15_19,10423000
2007,3,Female,457,20_24,10123000
2007,3,Female,516,25_29,10226000
2007,3,Female,607,30_34,9618000
2007,3,Female,991,35_39,10505000
2007,3,Female,1561,40_44,11077000
2007,3,Female,2613,45_49,11542000
2007,3,Female,3445,50_54,10624000
